keyword,title,link,summary,date
LG 에너지솔루션,"현대차, 인도네시아서 '현지 배터리' 탑재 코나 일렉트릭 생산",https://www.yna.co.kr/view/AKR20240701064300003?input=1195m, 현대차는 현대차그룹과 LG에너지솔루션의 인도네시아 배터리셀 합작공장인 HLI그린파워가 만든 배터리가 신형 코나 일렉트릭(EV)에 탑재돼 현지에서 생산된다고 1일 밝혔다. 현대차그룹과 LG에너지솔루션은 지난해 6월 인도네시아 카라왕 지역의 신산업 단지(KNIC) 내 HLI그린파워를 완공한 바 있다. 이번... ,2024-07-01
LG 에너지솔루션,"LG엔솔, 15년간 호주 리튬 공급받는다…""전기차 500만대분""",https://www.yna.co.kr/view/AKR20240702108200003?input=1195m," LG에너지솔루션이 호주 리튬 광산업체로부터 대규모 리튬을 확보해 핵심 원재료 공급망을 강화한다. LG에너지솔루션은 호주 리튬 광산업체 라이온타운과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 2일 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한 고순도 광물로, 고용량 전기차... ",2024-07-02
LG 에너지솔루션,"LG에너지솔루션, '전기차용 LFP배터리' 대규모 수주 성공",http://www.thefirstmedia.net/news/articleView.html?idxno=148990," 사진=LG에너지솔루션 LG에너지솔루션이 전기차용 LFP(리튬인산철) 배터리 첫 대규모 수주에 성공했다. 1일(현지시간) LG에너지솔루션은 르노(Renault)의 전기차 부문 '암페어(Ampere)'와 프랑스 파리에 위치한 르노 본사에서 LG에너지솔루션 자동차전지 사업부장 서원준 부사장, 자동차개발센터장 최승돈... ",2024-07-02
LG 에너지솔루션,"LG엔솔, 호주 리튬 광산 투자… 15년간 전기차 500대분 확보",https://biz.chosun.com/industry/company/2024/07/02/CL2KXTVVNRCNDKMKFDLEPCQBGA/?utm_source=naver&utm_medium=original&utm_campaign=biz, LG에너지솔루션은 호주 리튬 광산 업체 라이온타운(Liontown Resources Ltd.)과 대규모 리튬 정광(精鑛) 공급 및 전환사채 투자 계약을 체결했다고 2일 밝혔다. 리튬 정광은 리튬 광석을 가공해 농축한 고순도 원자재로 고용량 전기차 배터리의 핵심 원료인 수산화리튬의 원료가 된다. LG에너지솔루션은 이번... ,2024-07-02
LG 에너지솔루션,"""중국 텃밭 뚫었다""...LG엔솔, 전기차용 LFP 배터리 첫 대규모 수주",https://daily.hankooki.com/news/articleView.html?idxno=1101059, LG에너지솔루션과 르노가 1일 프랑스 파리 르노 본사에서 전기차용 LFP 배터리 공급계약을 체결했다. 사진 = LG에너지솔루션 LG에너지솔루션이 처음으로 전기차용 리튬인산철(LFP) 배터리 대규모 수주에 성공했다. LG에너지솔루션은 1일 르노의 전기차 부문 '암페어'와 프랑스 파리 르노 본사에서 전기차용... ,2024-07-02
LG 에너지솔루션,"LG에너지솔루션, 中 텃밭 뚫었다…전기차용 배터리 첫 대규모 수주",https://www.mk.co.kr/article/11056344, LG에너지솔루션이 전기차용 리튬인산철(LFP) 배터리 첫 대규모 수주에 성공했다. 중국 기업들이 독점하던 제품군인 차량용 LFP 배터리 제조시장에 한국 기업이 진출해 공급 계약을 맺은 것은 처음이다. 1일(현지시간) LG에너지솔루션은 프랑스 파리에서 르노의 전기차부문 ‘암페어(Ampere)’와 전기차용... ,2024-07-02
LG 에너지솔루션,"LG에너지솔루션, 르노와 전기차 배터리 공급계약",https://www.moneys.co.kr/article/2024070208131027888, LG에너지솔루션이 전기차용 리튬인산철(LFP) 배터리 첫 대규모 수주에 성공했다. LG에너지솔루션은 1일(현지시각) 르노의 전기차 부문 '암페어'와 프랑스 파리에 위치한 르노 본사에서 전기차용 파우치 LFP 배터리 공급계약을 체결했다고 밝혔다. 체결식엔 서원준 LG에너지솔루션 자동차전지... ,2024-07-02
LG 에너지솔루션,"LG엔솔, 르노서 전기차 59만대분 LFP 배터리 수주",https://www.sedaily.com/NewsView/2DBL1K7CJF, LG에너지솔루션(373220)이 전기차용 LFP(리튬인산철) 배터리 첫 대규모 수주에 성공했다. 중국업체들이 장악한 차량용 LFP 배터리 시장에 글로벌 완성차와 공급 계약을 맺은 것은 국내 업체 가운데 LG에너지솔루션이 처음이다. LG에너지솔루션은 1일(현지시간) 르노의 전기차 부문 ‘암페어’와 프랑스 파리에... ,2024-07-02
LG 에너지솔루션,"LG엔솔, 전기차용 LFP 첫 대규모 수주",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202407020062&t=NN, LG에너지솔루션이 전기차용 LFP(리튬인산철) 배터리 첫 대규모 수주에 성공했다. 1일(현지시간) LG에너지솔루션은 르노(Renault)의 전기차 부문 ‘암페어(Ampere)’와 프랑스 파리에 위치한 르노 본사에서 전기차용 파우치 LFP 배터리 공급계약을 체결했다고 밝혔다. 공급기간은 2025년 말부터 2030년까지 총... ,2024-07-02
LG 에너지솔루션,"LG에너지솔루션, 호주 리튬 광산 대규모 투자",https://vop.co.kr/A00001656894.html, LG에너지솔루션은 2일 호주 리튬 광산 업체 라이온타운과 대규모 리튬 정광 공급 및 전환사채 투자 계약을 체결했다고 밝혔다.리튬 정광은 리튬 광석을 가공해 농축한 고순도 원자재로 고용량 전기차 배터리의 핵심 원료인 수산화리튬의 원료가 된다.LG에너지솔루션은 이번 계약으로 이르면 올해 말부터... ,2024-07-02
