keyword,title,link,summary,date,전처리,감성점수,감성결과
일론 머스크,"美 항소법원 ""일론 머스크 노조 관련 트윗 삭제 부당""…언론 자유 언급",https://www.digitaltoday.co.kr/news/articleView.html?idxno=538818,"Tesla CEO Elon Musk [Photo: Shutterstock] The U.S. Court of Appeals for the 5th Circuit acknowledged that the National Labor Relations Board (NLRB) exceeded its authority in demanding Tesla CEO Elon Musk delete a tweet in 2018. According to Bloomberg on the 25th (local time), the 5th Circuit Court of Appeals in New Orleans ruled that Musk's tweets were constitutionally protected...",2024-10-28,"Tesla CEO Elon Musk  Photo  Shutterstock  The U.S. Court of Appeals for the 5th Circuit acknowledged that the National Labor Relations Board  NLRB  exceeded its authority in demanding Tesla CEO Elon Musk delete a tweet in 2018. According to Bloomberg on the 25th  local time , the 5th Circuit Court of Appeals in New Orleans ruled that Musk s tweets were constitutionally protected...",0.32,Positive
일론 머스크,"머스크, '과거 미국서 불법 노동' 보도에 ""거짓말"" 반박",https://www.yna.co.kr/view/AKR20241028149800009?input=1195m," WP “Starting a business without residency status”… Biden criticizes 'leading the way in anti-immigration' Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. According to the American daily Washington Post (WP) on the 27th (local time), Musk wrote on ",2024-10-28,"WP  Starting a business without residency status   Biden criticizes  leading the way in anti immigration  Tesla CEO Elon Musk denied media reports that he had worked illegally in the United States without residency status in the past. According to the American daily Washington Post  WP  on the 27th  local time , Musk wrote on",0.17,Positive
일론 머스크,"[토큰포스트 마감 브리핑] 일론 머스크, 트럼프 지지 연설 사진 및 DOGE ...",https://www.tokenpost.kr/article-202881," Elon Musk posted photo and DOGE image of Trump support speech Tesla CEO Elon Musk posted his photo and Dogecoin (DOGE) image on X when he attended former President Donald Trump's campaign rally and gave a speech. According to CoinMarketCap, DOGE is currently trading at $0.1442, up 4.49%. 'Virtual assets... ",2024-10-28,"Elon Musk posted photo and DOGE image of Trump support speech Tesla CEO Elon Musk posted his photo and Dogecoin  DOGE  image on X when he attended former President Donald Trump s campaign rally and gave a speech. According to CoinMarketCap, DOGE is currently trading at  0.1442, up 4.49 .  Virtual assets...",0.53,Positive
일론 머스크,"[르포]'민주 텃밭' 뉴욕 등장한 트럼프 ""카멀라, 넌 해고야""…지지자 운...",https://view.asiae.co.kr/article/2024102805272007979," Senator Vance, Tesla CEO Elon Musk, and former New York Mayor Rudy Giuliani also attended and stood on the podium. CEO Musk emphasized, “America will reach unprecedented levels,” and “an amazing future will come.” Melania Trump, who had refrained from making public appearances, also appeared. Not included in the originally announced list of speakers... ",2024-10-28,"Senator Vance, Tesla CEO Elon Musk, and former New York Mayor Rudy Giuliani also attended and stood on the podium. CEO Musk emphasized,  America will reach unprecedented levels,  and  an amazing future will come.  Melania Trump, who had refrained from making public appearances, also appeared. Not included in the originally announced list of speakers...",0.6,Positive
일론 머스크,"미국인 30% ""트럼프 선거운동 돕는 머스크, 테슬라 선호도 낮춰"" [From St...",https://www.fortunekorea.co.kr/news/articleView.html?idxno=43643,"Elon Musk's political activities are causing controversy. His support of former President Donald Trump differs from the 'traditional' method of declaring support or donating to an election campaign. He is using his social media 'X' to directly and indirectly deliver Trump's election message. Over the past few weeks, Musk has countered Trump's key claims with his own...",2024-10-28,"Elon Musk s political activities are causing controversy. His support of former President Donald Trump differs from the  traditional  method of declaring support or donating to an election campaign. He is using his social media  X  to directly and indirectly deliver Trump s election message. Over the past few weeks, Musk has countered Trump s key claims with his own...",0.66,Positive
일론 머스크,3분기 실적 호조에 날개 단 테슬라…CEO 리스크는 '잠재적 위험',https://www.itbiznews.com/news/articleView.html?idxno=149645,"Added to this is CEO Elon Musk's strong confidence in future performance improvement. In an earnings conference call, Elon Musk predicted that a growth rate of 20-30% would be possible next year. The expectation is that strong growth will be achieved through the advent of low-cost electric vehicles (EVs) and autonomous driving. The market cheered the improved performance and future prospects....",2024-10-28,"Added to this is CEO Elon Musk s strong confidence in future performance improvement. In an earnings conference call, Elon Musk predicted that a growth rate of 20 30  would be possible next year. The expectation is that strong growth will be achieved through the advent of low cost electric vehicles  EVs  and autonomous driving. The market cheered the improved performance and future prospects....",0.97,Positive
일론 머스크,"[줌인] 워싱턴 저택까지 구입한 베이조스, 지금은 정계와 거리두기 중",https://biz.chosun.com/international/international_general/2024/10/28/BW2R4ECHHBHPFCAM4IE6NZSWCA/?utm_source=naver&utm_medium=original&utm_campaign=biz,"In contrast, Elon Musk (53) is expanding his influence in Washington politics. Elon Musk is also the owner of SpaceX, a space company that competes with Blue Origin. According to the NYT, Tesla and SpaceX signed about 100 contracts with 17 federal agencies last year and earned $3 billion. NYT said, “While Bezos was away...",2024-10-28,"In contrast, Elon Musk  53  is expanding his influence in Washington politics. Elon Musk is also the owner of SpaceX, a space company that competes with Blue Origin. According to the NYT, Tesla and SpaceX signed about 100 contracts with 17 federal agencies last year and earned  3 billion. NYT said,  While Bezos was away...",0.0,Neutral
일론 머스크,"트럼프, 삼성 혜택받는 美반도체법 비판",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202410280013&t=NN," Meanwhile, Republican National Committee (RNC) spokeswoman Anna Kelly said, ""There's a reason technology leaders like Elon Musk support President Trump. They believe that only a president will end our dependence on foreign supply chains and position the United States as the world's manufacturing hub."" “I know I can recover,” he said. ",2024-10-28,"Meanwhile, Republican National Committee  RNC  spokeswoman Anna Kelly said,  There s a reason technology leaders like Elon Musk support President Trump. They believe that only a president will end our dependence on foreign supply chains and position the United States as the world s manufacturing hub.   I know I can recover,  he said.",0.79,Positive
일론 머스크,일론 머스크도 반한 그녀가 떴다' 배구장 찾은 사격 메달리스트 김예지...,https://sports.chosun.com/volleyball/2024-10-27/202410270100202110027066,"Tesla CEO Elon Musk also said, ‘Kim Ye-ji should be cast in an action movie. The video was posted with the message, “No need for acting.” Kim Ye-ji, who made her name known through various broadcast interviews after completing the Olympics. GS Caltex invited Kim Ye-ji to throw the first pitch ahead of the home opening game. At the Olympics, aiming at the target with a chic expression...",2024-10-28,"Tesla CEO Elon Musk also said,  Kim Ye ji should be cast in an action movie. The video was posted with the message,  No need for acting.  Kim Ye ji, who made her name known through various broadcast interviews after completing the Olympics. GS Caltex invited Kim Ye ji to throw the first pitch ahead of the home opening game. At the Olympics, aiming at the target with a chic expression...",-0.03,Neutral
일론 머스크,"일론 머스크, 트럼프·공화당에 최소 1800억원 쏟아부었다",https://www.digitaltoday.co.kr/news/articleView.html?idxno=538823,"Elon Musk and Trump [Photo: Shutterstock] It was revealed that Elon Musk provided at least $130 million (about 181 billion won) to Republican candidate former President Donald Trump and the Republican camp this year. According to Business Insider on the 25th (local time), most of Musk's support was to support former President Trump's election...",2024-10-28,"Elon Musk and Trump  Photo  Shutterstock  It was revealed that Elon Musk provided at least  130 million  about 181 billion won  to Republican candidate former President Donald Trump and the Republican camp this year. According to Business Insider on the 25th  local time , most of Musk s support was to support former President Trump s election...",0.84,Positive
