"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 25","285.92","288.73","291.36","285.70","8.34M","-0.87%"
"2024- 12- 24","288.42","279.89","288.51","279.13","14.23M","2.75%"
"2024- 12- 23","280.70","280.50","283.29","278.88","8.15M","0.18%"
"2024- 12- 20","280.20","285.01","286.75","280.20","9.67M","-1.82%"
"2024- 12- 19","285.40","281.81","286.94","280.00","8.67M","0.26%"
"2024- 12- 18","284.65","283.25","286.88","282.63","8.41M","0.65%"
"2024- 12- 17","282.80","274.92","285.66","273.98","17.57M","2.86%"
"2024- 12- 16","274.95","276.52","278.18","273.58","7.15M","-0.56%"
"2024- 12- 13","276.51","281.33","281.62","276.42","11.24M","-2.53%"
"2024- 12- 12","283.68","280.10","283.68","278.40","10.01M","1.04%"
"2024- 12- 11","280.77","282.03","283.87","279.40","9.34M","-0.63%"
"2024- 12- 10","282.55","293.00","294.00","282.00","17.59M","0.73%"
"2024- 12- 09","280.49","279.23","283.99","277.68","9.22M","0.07%"
"2024- 12- 06","280.28","275.67","281.98","274.01","12.47M","1.82%"
"2024- 12- 05","275.26","277.19","278.48","274.31","9.03M","-1.69%"
"2024- 12- 04","279.98","281.34","283.33","278.80","8.50M","-0.94%"
"2024- 12- 03","282.65","284.80","285.88","280.58","9.14M","0.09%"
"2024- 12- 02","282.40","276.61","284.00","274.08","15.14M","2.75%"
"2024- 11- 29","274.83","273.00","277.88","272.05","12.80M","0.09%"
"2024- 11- 28","274.58","281.20","281.56","273.00","15.86M","-2.28%"
"2024- 11- 27","281.00","279.28","281.00","277.00","11.00M","0.00%"
"2024- 11- 26","281.01","280.00","286.00","277.88","9.52M","-0.70%"
"2024- 11- 25","283.00","283.00","289.36","280.89","17.45M","1.62%"
"2024- 11- 22","278.49","285.50","285.86","278.00","12.51M","-2.63%"
"2024- 11- 21","286.00","288.47","288.49","284.00","9.55M","-0.85%"
"2024- 11- 20","288.46","288.01","290.40","285.50","10.60M","0.16%"
"2024- 11- 19","287.99","288.68","291.48","282.02","13.19M","-0.24%"
"2024- 11- 18","288.68","290.01","292.95","286.66","11.62M","-0.46%"
"2024- 11- 15","290.00","294.79","295.79","288.02","15.32M","-1.61%"
"2024- 11- 14","294.75","300.00","300.30","294.00","12.46M","-1.94%"
"2024- 11- 13","300.57","298.00","301.33","295.30","14.51M","-0.08%"
"2024- 11- 12","300.81","300.15","310.00","299.31","24.66M","0.51%"
"2024- 11- 11","299.29","295.00","299.47","292.60","18.09M","0.47%"
"2024- 11- 08","297.90","307.12","307.52","297.00","16.67M","-1.29%"
"2024- 11- 07","301.78","295.03","301.88","294.00","15.07M","0.47%"
"2024- 11- 06","300.36","308.00","309.75","298.00","18.49M","-2.32%"
"2024- 11- 05","307.50","304.06","308.44","300.50","16.78M","0.17%"
"2024- 11- 04","306.98","296.00","308.92","295.61","21.73M","5.74%"
"2024- 11- 01","290.31","293.20","295.60","290.10","14.30M","-0.98%"
"2024- 10- 31","293.19","302.01","302.99","293.00","24.09M","-4.05%"
"2024- 10- 30","305.55","303.00","307.51","301.50","10.84M","0.05%"
"2024- 10- 29","305.40","309.00","310.28","303.80","11.85M","0.10%"
"2024- 10- 28","305.10","309.00","309.00","301.75","10.93M","-0.99%"
"2024- 10- 25","308.14","304.00","311.80","304.00","13.98M","1.47%"
"2024- 10- 24","303.68","308.88","309.97","302.58","9.69M","-1.68%"
"2024- 10- 23","308.88","304.75","311.80","302.68","12.67M","1.36%"
"2024- 10- 22","304.75","305.00","310.12","303.00","10.37M","-0.55%"
"2024- 10- 21","306.45","303.00","308.60","300.90","15.78M","2.05%"
"2024- 10- 18","300.30","289.45","306.20","288.08","19.11M","3.76%"
"2024- 10- 17","289.42","292.51","297.85","289.12","10.25M","-0.13%"
"2024- 10- 16","289.79","293.00","295.98","287.00","15.03M","-2.76%"
"2024- 10- 15","298.00","305.50","308.38","298.00","12.21M","-2.93%"
"2024- 10- 14","307.00","300.99","309.98","300.20","17.24M","2.32%"
"2024- 10- 11","300.05","314.02","314.02","296.01","18.64M","-5.01%"
"2024- 10- 10","315.89","310.00","322.00","309.98","25.02M","3.34%"
"2024- 10- 09","305.69","315.00","320.71","300.50","32.59M","-6.63%"
"2024- 10- 08","327.38","338.04","338.04","307.31","44.34M","6.53%"
"2024- 09- 30","307.31","290.00","308.08","290.00","38.88M","8.21%"
"2024- 09- 27","283.99","273.00","291.99","271.50","30.99M","5.33%"
"2024- 09- 26","269.61","264.00","269.70","262.10","14.91M","2.59%"
"2024- 09- 25","262.80","258.00","269.66","257.66","20.57M","3.35%"
"2024- 09- 24","254.29","253.00","255.50","246.76","15.65M","1.72%"
"2024- 09- 23","250.00","255.95","256.96","248.79","10.76M","-2.38%"
