"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 25","267.97","268.91","270.91","266.26","11.41M","-0.10%"
"2024- 12- 24","268.23","263.00","268.25","263.00","19.62M","1.80%"
"2024- 12- 23","263.50","262.71","268.88","262.71","20.64M","0.30%"
"2024- 12- 20","262.71","269.79","270.80","260.32","27.74M","-2.62%"
"2024- 12- 19","269.79","269.26","272.35","266.62","15.35M","-0.60%"
"2024- 12- 18","271.41","274.31","274.73","270.31","15.09M","-0.87%"
"2024- 12- 17","273.80","267.00","278.00","266.54","28.21M","2.47%"
"2024- 12- 16","267.20","266.22","269.50","264.05","16.26M","0.06%"
"2024- 12- 13","267.03","269.88","272.00","266.00","28.32M","-2.44%"
"2024- 12- 12","273.71","265.90","275.38","265.20","22.33M","2.47%"
"2024- 12- 11","267.10","273.96","279.50","266.52","19.40M","-1.28%"
"2024- 12- 10","270.57","281.28","281.50","269.33","32.90M","0.94%"
"2024- 12- 09","268.05","266.99","269.66","264.41","22.46M","0.56%"
"2024- 12- 06","266.55","256.00","269.90","255.00","33.04M","4.12%"
"2024- 12- 05","256.00","257.99","258.95","255.01","16.02M","-1.15%"
"2024- 12- 04","258.97","260.00","262.00","257.50","16.18M","-1.10%"
"2024- 12- 03","261.84","261.00","262.99","259.00","17.31M","-0.13%"
"2024- 12- 02","262.19","258.64","263.55","257.21","20.65M","0.36%"
"2024- 11- 29","261.24","251.23","267.99","251.23","31.37M","2.57%"
"2024- 11- 28","254.70","259.20","259.53","253.50","22.36M","-2.00%"
"2024- 11- 27","259.90","254.70","260.90","251.47","27.40M","1.24%"
"2024- 11- 26","256.72","261.57","263.97","255.66","27.36M","-2.79%"
"2024- 11- 25","264.10","263.06","266.56","261.18","26.24M","1.93%"
"2024- 11- 22","259.10","267.93","269.00","258.88","22.56M","-3.41%"
"2024- 11- 21","268.26","265.66","271.43","263.66","20.55M","0.27%"
"2024- 11- 20","267.55","266.95","269.90","264.60","22.71M","-0.44%"
"2024- 11- 19","268.72","262.02","272.00","258.00","34.81M","2.21%"
"2024- 11- 18","262.92","265.56","270.95","261.00","30.65M","-0.99%"
"2024- 11- 15","265.56","269.50","275.00","265.56","35.20M","-3.43%"
"2024- 11- 14","275.00","283.00","284.99","274.66","42.66M","-2.48%"
"2024- 11- 13","282.00","269.00","288.20","266.77","55.77M","3.29%"
"2024- 11- 12","273.02","278.28","285.20","270.98","74.40M","2.06%"
"2024- 11- 11","267.50","252.35","268.99","251.01","49.15M","3.88%"
"2024- 11- 08","257.50","269.66","272.00","257.10","40.29M","-2.02%"
"2024- 11- 07","262.80","258.00","262.80","253.88","33.57M","2.46%"
"2024- 11- 06","256.50","258.99","269.50","253.50","45.24M","-1.87%"
"2024- 11- 05","261.39","250.58","262.82","249.13","48.48M","4.06%"
"2024- 11- 04","251.20","244.00","254.30","244.00","24.25M","2.03%"
"2024- 11- 01","246.20","246.53","249.82","245.18","25.92M","0.09%"
"2024- 10- 31","245.98","246.99","250.50","244.00","25.50M","-0.83%"
"2024- 10- 30","248.03","250.00","252.30","244.50","27.13M","-1.49%"
