"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 25","1,614.5","1,600.0","1,614.5","1,591.5","3.56M","0.97%"
"2024- 12- 24","1,599.0","1,610.5","1,613.5","1,592.5","3.50M","-1.24%"
"2024- 12- 23","1,619.0","1,606.0","1,623.0","1,598.0","7.11M","1.95%"
"2024- 12- 20","1,588.0","1,594.5","1,608.0","1,585.0","16.94M","1.31%"
"2024- 12- 19","1,567.5","1,554.0","1,572.0","1,546.5","7.88M","-1.14%"
"2024- 12- 18","1,585.5","1,584.0","1,596.5","1,572.5","5.54M","-0.78%"
"2024- 12- 17","1,598.0","1,608.0","1,630.5","1,593.0","9.31M","-0.65%"
"2024- 12- 16","1,608.5","1,592.5","1,646.5","1,589.5","15.07M","2.13%"
"2024- 12- 13","1,575.0","1,560.0","1,585.0","1,553.5","9.33M","-0.13%"
"2024- 12- 12","1,577.0","1,547.5","1,580.0","1,531.5","13.72M","2.74%"
"2024- 12- 11","1,535.0","1,512.0","1,535.0","1,510.5","7.42M","1.86%"
"2024- 12- 10","1,507.0","1,554.0","1,559.5","1,502.5","10.51M","1.41%"
"2024- 12- 09","1,486.0","1,490.0","1,519.0","1,481.0","8.87M","0.00%"
"2024- 12- 06","1,486.0","1,482.0","1,495.0","1,464.0","6.44M","0.58%"
"2024- 12- 05","1,477.5","1,456.0","1,481.0","1,456.0","8.27M","1.58%"
"2024- 12- 04","1,454.5","1,472.5","1,479.5","1,454.5","6.44M","-1.42%"
"2024- 12- 03","1,475.5","1,461.0","1,503.0","1,458.5","9.78M","1.55%"
"2024- 12- 02","1,453.0","1,467.0","1,467.0","1,441.5","7.43M","-0.85%"
"2024- 11- 29","1,465.5","1,499.0","1,499.0","1,457.0","7.21M","-2.53%"
"2024- 11- 28","1,503.5","1,485.5","1,516.5","1,464.5","8.19M","1.66%"
"2024- 11- 27","1,479.0","1,504.0","1,512.0","1,470.0","10.09M","-2.57%"
"2024- 11- 26","1,518.0","1,527.0","1,533.0","1,502.5","7.61M","-1.17%"
"2024- 11- 25","1,536.0","1,555.5","1,556.5","1,514.5","16.32M","-0.97%"
"2024- 11- 22","1,551.0","1,510.5","1,558.5","1,508.5","10.49M","2.04%"
"2024- 11- 21","1,520.0","1,519.5","1,539.0","1,510.0","9.55M","-0.30%"
"2024- 11- 20","1,524.5","1,534.5","1,538.0","1,515.0","8.61M","-1.23%"
"2024- 11- 19","1,543.5","1,498.0","1,550.0","1,482.5","16.90M","4.04%"
"2024- 11- 18","1,483.5","1,447.0","1,494.0","1,437.5","10.53M","1.09%"
"2024- 11- 15","1,467.5","1,470.0","1,474.0","1,445.0","14.92M","-1.97%"
"2024- 11- 14","1,497.0","1,490.0","1,518.0","1,485.5","18.44M","2.50%"
"2024- 11- 13","1,460.5","1,446.5","1,474.5","1,441.5","11.95M","1.11%"
"2024- 11- 12","1,444.5","1,447.0","1,486.5","1,443.5","17.20M","1.40%"
"2024- 11- 11","1,424.5","1,391.5","1,442.5","1,387.0","11.36M","3.26%"
"2024- 11- 08","1,379.5","1,425.0","1,426.5","1,379.5","7.64M","-1.85%"
"2024- 11- 07","1,405.5","1,363.0","1,416.5","1,360.0","14.81M","4.23%"
"2024- 11- 06","1,348.5","1,397.0","1,429.5","1,331.0","26.79M","-5.43%"
"2024- 11- 05","1,426.0","1,369.0","1,435.5","1,359.0","22.22M","6.14%"
"2024- 11- 01","1,343.5","1,354.0","1,373.0","1,332.0","27.35M","8.52%"
"2024- 10- 31","1,238.0","1,243.0","1,247.5","1,231.5","9.18M","-1.04%"
